rollout/env_steps,time/total_timesteps,rollout/agent_steps_total,rollout/active_agents,rollout/episode_group_reward,rollout/episode_agent_steps,rollout/episode_length,rollout/episode_alive_agents_end,train/ent_coef,train/critic_loss,train/current_q_values,train/entrQ_1,train/next_q_values,train/entrQ_2,train/actor_loss,train/n_updates,train/run_costs,train/sto_costs,train/entropy,train/terminal_costs
26500,26500,156545,8,,,,,0.02001972123980522,4.817310333251953,44.962730407714844,2.425691604614258,0.009900989942252636,2.426809072494507,-46.0750732421875,43002,8.2684907913208,0.0,0.0,-4.609235763549805
26600,26600,156970,3,,,,,0.019966982305049896,4.816962242126465,45.009315490722656,2.4203672409057617,0.009900989942252636,2.4158053398132324,0,43202,7.524378776550293,0.0,0.0,-4.609066963195801
26700,26700,157241,2,,,,,0.019849108532071114,4.7135539054870605,47.14348220825195,2.3649888038635254,0.009900989942252636,2.3720576763153076,-46.64643096923828,43402,7.62863826751709,0.0,0.0,-4.696295738220215
,,,,845.2652567795432,1324,350,1,0.0198172889649868,4.760323524475098,40.76329040527344,2.383415699005127,0.009900989942252636,2.390394687652588,-41.91897964477539,43566,8.015914916992188,0.0,0.0,-4.698545455932617
26800,26800,157469,8,,,,,0.019716007634997368,4.70611572265625,41.50267791748047,2.365139961242676,0.009900989942252636,2.366751194000244,-42.851829528808594,43602,8.117530822753906,0.0,0.0,-4.615520477294922
26900,26900,158203,4,,,,,0.019370850175619125,4.791720390319824,45.10813903808594,2.4164977073669434,0.009900989942252636,2.40449857711792,0,43802,8.223899841308594,0.0,0.0,-4.732814788818359
27000,27000,158494,2,,,,,0.01919339783489704,4.905240058898926,46.85368347167969,2.4680211544036865,0.009900989942252636,2.468616485595703,-48.22106170654297,44002,7.474720001220703,0.0,0.0,-4.651485443115234
,,,,873.0563097239572,1286,300,1,0.019533969461917877,4.84627628326416,47.24958038330078,2.4376115798950195,0.009900989942252636,2.436328887939453,-48.15077209472656,44166,8.760622024536133,0.0,0.0,-4.682793140411377
27100,27100,158743,6,,,,,0.01968417689204216,4.93736457824707,49.3841552734375,2.4786815643310547,0.009900989942252636,2.4802796840667725,-50.30271911621094,44202,8.35247802734375,0.0,0.0,-4.659993648529053
27200,27200,159312,4,,,,,0.020167089998722076,4.97170352935791,49.08100128173828,2.499523401260376,0.009900989942252636,2.5020313262939453,0,44402,8.465086936950684,0.0,0.0,-4.535858154296875
27300,27300,159469,1,,,,,0.02065865322947502,4.838669300079346,44.579917907714844,2.428062915802002,0.009900989942252636,2.4299421310424805,-45.070335388183594,44602,9.282203674316406,0.0,0.0,-4.667513847351074
,,,,560.051813492802,883,243,1,0.020979607477784157,4.924141883850098,44.81939697265625,2.4771196842193604,0.009900989942252636,2.4796042442321777,-46.16534423828125,44652,8.141863822937012,0.0,0.0,-4.588450908660889
27400,27400,160094,8,,,,,0.021153854206204414,4.890405654907227,43.555328369140625,2.460155725479126,0.009900989942252636,2.458009719848633,-43.954620361328125,44802,8.15041732788086,0.0,0.0,-4.738990306854248
27500,27500,160680,5,,,,,0.021152133122086525,4.80306339263916,47.546600341796875,2.415543556213379,0.009900989942252636,2.415337324142456,0,45002,7.853757858276367,0.0,0.0,-4.689592361450195
27600,27600,161043,1,,,,,0.02121274545788765,4.896947860717773,46.53466796875,2.463777542114258,0.009900989942252636,2.4677200317382812,-46.54016876220703,45202,7.509552955627441,0.0,0.0,-4.606557369232178
,,,,1184.9115509799153,1559,285,1,0.021168828010559082,4.88741397857666,48.28726577758789,2.4689011573791504,0.009900989942252636,2.4634251594543457,-50.69720458984375,45222,7.458027362823486,0.0,0.0,-4.723676681518555
27700,27700,161767,6,,,,,0.02094121277332306,4.900920867919922,47.76306915283203,2.4690680503845215,0.009900989942252636,2.469529151916504,-48.727516174316406,45402,8.295681953430176,0.0,0.0,-4.702276229858398
27800,27800,162180,4,,,,,0.020668230950832367,4.833315849304199,44.52130889892578,2.4342260360717773,0.009900989942252636,2.4359586238861084,0,45602,7.850762367248535,0.0,0.0,-4.603930473327637
27900,27900,162409,1,,,,,0.020467324182391167,4.7869110107421875,45.93315124511719,2.404125690460205,0.009900989942252636,2.4061481952667236,-47.305145263671875,45802,8.125,0.0,0.0,-4.691065788269043
,,,,963.1711878510336,1379,313,1,0.02035142295062542,4.912790298461914,46.85093307495117,2.4644997119903564,0.009900989942252636,2.4677059650421143,0,45848,7.59431791305542,0.0,0.0,-4.597372531890869
28000,28000,163048,8,,,,,0.02010236866772175,4.843906879425049,45.489837646484375,2.4363670349121094,0.009900989942252636,2.4340460300445557,-45.77874755859375,46002,7.985049247741699,0.0,0.0,-4.595452308654785
28100,28100,163761,7,,,,,0.020332686603069305,4.840864181518555,47.92287063598633,2.4339799880981445,0.009900989942252636,2.432237148284912,0,46202,8.044259071350098,0.0,0.0,-4.627444744110107
28200,28200,164373,5,,,,,0.02063475362956524,4.812316417694092,44.95571517944336,2.4213829040527344,0.009900989942252636,2.418224811553955,-46.36083221435547,46402,8.394253730773926,0.0,0.0,-4.728057861328125
28300,28300,164717,3,,,,,0.020619390532374382,4.835740089416504,45.03590393066406,2.4329328536987305,0.009900989942252636,2.429042339324951,-45.515480041503906,46602,7.631352424621582,0.0,0.0,-4.711282730102539
,,,,1780.636177665611,2355,420,1,0.020751576870679855,4.8795013427734375,45.94552230834961,2.45420503616333,0.009900989942252636,2.454202651977539,0,46688,7.7479352951049805,0.0,0.0,-4.659100532531738
28400,28400,165243,8,,,,,0.020847469568252563,4.919508934020996,46.60340881347656,2.4659714698791504,0.009900989942252636,2.46213960647583,0,46802,8.18945598602295,0.0,0.0,-4.611533164978027
28500,28500,166043,8,,,,,0.02145850844681263,4.800595283508301,44.169918060302734,2.4147348403930664,0.009900989942252636,2.4131953716278076,-46.462059020996094,47002,8.054691314697266,0.0,0.0,-4.748392581939697
28600,28600,166729,2,,,,,0.02083682082593441,4.757806777954102,48.269081115722656,2.3944759368896484,0.009900989942252636,2.3963050842285156,-49.55827713012695,47202,8.272125244140625,0.0,0.0,-4.6398420333862305
,,,,1583.4707055539102,2052,356,1,0.020570214837789536,4.755151748657227,47.24729919433594,2.3900203704833984,0.009900989942252636,2.3927412033081055,-48.018531799316406,47400,7.793050765991211,0.0,0.0,-4.743821144104004
28700,28700,166847,8,,,,,0.020563889294862747,4.7262678146362305,46.90370178222656,2.379189968109131,0.009900989942252636,2.3736958503723145,0,47402,,,,
28800,28800,167647,8,,,,,0.02046295814216137,4.738311290740967,46.50550079345703,2.387185573577881,0.009900989942252636,2.384242534637451,-47.41621398925781,47602,8.581886291503906,0.0,0.0,-4.700033187866211
28900,28900,168398,6,,,,,0.020458407700061798,4.8057050704956055,50.2277717590332,2.4152488708496094,0.009900989942252636,2.4127469062805176,-51.384029388427734,47802,8.174599647521973,0.0,0.0,-4.596981048583984
29000,29000,168809,2,,,,,0.020781219005584717,4.7458086013793945,47.03721618652344,2.3906712532043457,0.009900989942252636,2.3944811820983887,0,48002,8.924229621887207,0.0,0.0,-4.676154136657715
,,,,1315.5779825091909,2055,356,1,0.02111636847257614,4.778224945068359,42.823020935058594,2.4017550945281982,0.009900989942252636,2.4059925079345703,-43.79847717285156,48112,7.052265644073486,0.0,0.0,-4.763244152069092
29100,29100,169249,7,,,,,0.02115575596690178,4.783857345581055,43.67984390258789,2.413975238800049,0.009900989942252636,2.4095005989074707,-44.847129821777344,48202,7.981629848480225,0.0,0.0,-4.7140350341796875
29200,29200,169795,5,,,,,0.020579205825924873,4.793487548828125,45.2205810546875,2.411158561706543,0.009900989942252636,2.4152722358703613,-46.119834899902344,48402,7.757490158081055,0.0,0.0,-4.653382301330566
29300,29300,170095,2,,,,,0.020366081967949867,4.730593681335449,48.32211685180664,2.378464698791504,0.009900989942252636,2.3790323734283447,0,48602,8.363937377929688,0.0,0.0,-4.633319854736328
29400,29400,170295,2,,,,,0.020890165120363235,4.787343978881836,44.997894287109375,2.41485333442688,0.009900989942252636,2.410818099975586,-48.02040481567383,48802,8.165735244750977,0.0,0.0,-4.765707492828369
,,,,1015.8928721280715,1471,395,1,0.020884018391370773,4.779705047607422,46.18194580078125,2.3880231380462646,0.009900989942252636,2.388120651245117,0,48902,7.369534969329834,0.0,0.0,-4.7174811363220215
29500,29500,170765,8,,,,,0.020761078223586082,4.7703399658203125,46.43478775024414,2.396414279937744,0.009900989942252636,2.3953042030334473,-47.41486358642578,49002,7.943504333496094,0.0,0.0,-4.654534339904785
29600,29600,171406,5,,,,,0.02043519727885723,4.763727188110352,47.803524017333984,2.3958969116210938,0.009900989942252636,2.3963966369628906,0,49202,8.40151309967041,0.0,0.0,-4.622308254241943
29700,29700,171852,3,,,,,0.020075978711247444,4.748346328735352,42.641849517822266,2.3718135356903076,0.009900989942252636,2.3513565063476562,-44.24579620361328,49402,7.504302024841309,0.0,0.0,-4.616977691650391
29800,29800,172024,1,,,,,0.01952439174056053,4.762580871582031,47.787200927734375,2.389251232147217,0.009900989942252636,2.401003837585449,-48.66099548339844,49602,8.611448287963867,0.0,0.0,-4.703176021575928
29900,29900,172124,1,,,,,0.019429754465818405,4.757070541381836,50.03875732421875,2.3905818462371826,0.009900989942252636,2.390310764312744,0,49802,7.171772480010986,0.0,0.0,-4.589723587036133
,,,,1249.1459027853814,1778,469,1,0.0193538349121809,4.7337117195129395,50.53158950805664,2.387085437774658,0.009900989942252636,2.3835642337799072,-51.56297302246094,49840,7.801599502563477,0.0,0.0,-4.741962432861328
30000,30000,172791,8,,,,,0.0194696057587862,4.776508331298828,48.82374572753906,2.3980894088745117,0.009900989942252636,2.394284248352051,-49.41145706176758,50002,8.246856689453125,0.0,0.0,-4.623290061950684
30100,30100,173591,8,,,,,0.019765902310609818,4.7987823486328125,48.31011962890625,2.4127402305603027,0.009900989942252636,2.4120545387268066,-48.204524993896484,50202,7.804248809814453,0.0,0.0,-4.6590576171875
30200,30200,174238,4,,,,,0.01998993568122387,4.630662441253662,50.704166412353516,2.3260810375213623,0.009900989942252636,2.329073190689087,0,50402,7.558387279510498,0.0,0.0,-4.662090301513672
30300,30300,174500,1,,,,,0.02015349641442299,4.7613911628723145,49.595497131347656,2.3907456398010254,0.009900989942252636,2.3904948234558105,-49.94013214111328,50602,7.773410797119141,0.0,0.0,-4.688247203826904
,,,,1984.7527723623589,2386,410,1,0.020156774669885635,4.820523262023926,51.22443389892578,2.4255332946777344,0.009900989942252636,2.4238429069519043,0,50660,7.833266258239746,0.0,0.0,-4.713759422302246
30400,30400,175097,8,,,,,0.020314522087574005,4.759269714355469,51.44690704345703,2.3984673023223877,0.009900989942252636,2.394744396209717,-52.4293098449707,50802,8.478681564331055,0.0,0.0,-4.643410682678223
30500,30500,175897,8,,,,,0.02083638310432434,4.74759578704834,50.11048889160156,2.3886547088623047,0.009900989942252636,2.383443593978882,0,51002,8.616292953491211,0.0,0.0,-4.676115989685059
30600,30600,176573,6,,,,,0.020748864859342575,4.8679399490356445,49.51518249511719,2.4365029335021973,0.009900989942252636,2.436809778213501,-49.99847412109375,51202,8.045452117919922,0.0,0.0,-4.724301338195801
30700,30700,176922,2,,,,,0.021022077649831772,4.597398281097412,45.96204376220703,2.3099770545959473,0.009900989942252636,2.312490224838257,-46.97642517089844,51402,7.3615827560424805,0.0,0.0,-4.69808292388916
,,,,2069.1722094753845,2430,408,1,0.021253209561109543,4.6313066482543945,48.567840576171875,2.329841136932373,0.009900989942252636,2.331192970275879,0,51476,7.998145580291748,0.0,0.0,-4.725129127502441
30800,30800,177463,8,,,,,0.02154451794922352,4.707745552062988,48.45170593261719,2.3609492778778076,0.009900989942252636,2.3666961193084717,0,51602,8.625227928161621,0.0,0.0,-4.6746931076049805
30900,30900,178188,7,,,,,0.02166692167520523,4.679075241088867,49.4649772644043,2.36336088180542,0.009900989942252636,2.3626179695129395,-50.120059967041016,51802,8.214417457580566,0.0,0.0,-4.702932357788086
31000,31000,178873,6,,,,,0.0220098327845335,4.649313926696777,46.35539245605469,2.336219310760498,0.009900989942252636,2.3346810340881348,-47.66851043701172,52002,7.713464736938477,0.0,0.0,-4.6646013259887695
31100,31100,179305,3,,,,,0.021866939961910248,4.744204521179199,49.78425979614258,2.385767936706543,0.009900989942252636,2.3847858905792236,0,52202,7.68691873550415,0.0,0.0,-4.654701232910156
,,,,1904.4553699406335,2450,409,1,0.021927833557128906,4.750251770019531,52.807098388671875,2.39089035987854,0.009900989942252636,2.3933541774749756,-52.95294952392578,52294,7.915944576263428,0.0,0.0,-4.73956823348999
31200,31200,179841,8,,,,,0.021614933386445045,4.7097930908203125,46.0711669921875,2.349353790283203,0.009900989942252636,2.3572850227355957,-46.30215072631836,52402,9.217656135559082,0.0,0.0,-4.677766799926758
31300,31300,180641,8,,,,,0.02086920663714409,4.864632606506348,49.81399154663086,2.442089557647705,0.009900989942252636,2.4443185329437256,-50.28728485107422,52602,8.16956901550293,0.0,0.0,-4.726120471954346
31400,31400,181365,7,,,,,0.021224377676844597,4.848310470581055,50.56668472290039,2.4377975463867188,0.009900989942252636,2.436983585357666,0,52802,8.032175064086914,0.0,0.0,-4.653227806091309
31500,31500,181931,3,,,,,0.02084292657673359,4.777097702026367,51.261505126953125,2.4071855545043945,0.009900989942252636,2.4049389362335205,-53.767921447753906,53002,8.2326078414917,0.0,0.0,-4.677557945251465
,,,,2065.5106178577544,2605,388,1,0.020886283367872238,4.7796525955200195,51.904823303222656,2.4047775268554688,0.009900989942252636,2.4065933227539062,-53.05388259887695,53070,7.899763584136963,0.0,0.0,-4.667046546936035
31600,31600,182542,8,,,,,0.020988788455724716,4.6850786209106445,51.958656311035156,2.352722644805908,0.009900989942252636,2.3523783683776855,-53.155513763427734,53202,8.185213088989258,0.0,0.0,-4.7170939445495605
31700,31700,183342,8,,,,,0.02168356627225876,4.724113941192627,50.90397644042969,2.3828063011169434,0.009900989942252636,2.3785600662231445,0,53402,8.607965469360352,0.0,0.0,-4.6281232833862305
31800,31800,184009,4,,,,,0.02193336747586727,4.69658088684082,51.427513122558594,2.3684678077697754,0.009900989942252636,2.362828254699707,-51.46289825439453,53602,8.522043228149414,0.0,0.0,-4.724628448486328
31900,31900,184307,2,,,,,0.02205975539982319,4.704035758972168,51.903263092041016,2.366666793823242,0.009900989942252636,2.369314193725586,-52.441314697265625,53802,8.114236831665039,0.0,0.0,-4.584567070007324
,,,,1934.1189152156874,2376,419,1,0.022195175290107727,4.623286724090576,51.73738098144531,2.3218703269958496,0.009900989942252636,2.326539993286133,-51.058441162109375,53908,7.897030830383301,0.0,0.0,-4.856176853179932
32000,32000,184766,8,,,,,0.02221265435218811,4.701808929443359,52.58135986328125,2.359513998031616,0.009900989942252636,2.359527826309204,0,54002,8.199496269226074,0.0,0.0,-4.783771514892578
32100,32100,185566,8,,,,,0.022008057683706284,4.687849044799805,51.182106018066406,2.357940196990967,0.009900989942252636,2.3554067611694336,-51.78670883178711,54202,8.205689430236816,0.0,0.0,-4.62119722366333
32200,32200,186286,6,,,,,0.022135727107524872,4.617186546325684,55.503692626953125,2.316096544265747,0.009900989942252636,2.3212246894836426,-55.76580047607422,54402,7.758579254150391,0.0,0.0,-4.678349018096924
32300,32300,186735,3,,,,,0.022506874054670334,4.6928558349609375,51.86973190307617,2.358346462249756,0.009900989942252636,2.361764907836914,0,54602,7.696735382080078,0.0,0.0,-4.705110549926758
,,,,2171.235956237782,2428,399,1,0.022827360779047012,4.7687273025512695,51.07837677001953,2.3927254676818848,0.009900989942252636,2.394441604614258,-51.639427185058594,54706,7.640503883361816,0.0,0.0,-4.718916893005371
32400,32400,187202,8,,,,,0.02321401610970497,4.655956268310547,51.54317855834961,2.3391401767730713,0.009900989942252636,2.339538097381592,-52.15863800048828,54802,8.22607707977295,0.0,0.0,-4.6101298332214355
32500,32500,188002,8,,,,,0.02329893968999386,4.763520240783691,53.04222869873047,2.394258499145508,0.009900989942252636,2.3949942588806152,-53.539669036865234,55002,7.657382965087891,0.0,0.0,-4.652173042297363
32600,32600,188723,6,,,,,0.023283526301383972,4.719996929168701,51.86566925048828,2.3777027130126953,0.009900989942252636,2.373713970184326,0,55202,7.858654975891113,0.0,0.0,-4.639002799987793
32700,32700,189124,1,,,,,0.022740507498383522,4.597023010253906,49.99006271362305,2.3034496307373047,0.009900989942252636,2.296245813369751,-50.87040710449219,55402,7.821540832519531,0.0,0.0,-4.738791465759277
,,,,1935.802560365132,2306,348,1,,,,,,,,,,,,
32800,32800,189924,8,,,,,0.022224044427275658,4.653474807739258,53.86871337890625,2.333617687225342,0.009900989942252636,2.339198112487793,-54.60639572143555,55602,7.863740921020508,0.0,0.0,-4.657957077026367
32900,32900,190723,7,,,,,0.021831875666975975,4.6910600662231445,51.85601043701172,2.365321397781372,0.009900989942252636,2.362748861312866,0,55802,8.124643325805664,0.0,0.0,-4.762276649475098
33000,33000,191248,2,,,,,0.022252293303608894,4.56350040435791,54.00920867919922,2.2975058555603027,0.009900989942252636,2.2927513122558594,-53.89727020263672,56002,7.6064863204956055,0.0,0.0,-4.7402238845825195
33100,33100,191448,2,,,,,0.022228803485631943,4.598066806793213,54.68553924560547,2.3155055046081543,0.009900989942252636,2.314875841140747,-56.24554443359375,56202,8.151510238647461,0.0,0.0,-4.674625396728516
,,,,1962.1704119247686,2422,472,1,0.02241603285074234,4.617509365081787,52.11880874633789,2.325349807739258,0.009900989942252636,2.3237040042877197,-52.800323486328125,56346,7.83237361907959,0.0,0.0,-4.674349784851074
33200,33200,191770,8,,,,,0.022412912920117378,4.6007890701293945,56.6836051940918,2.3181416988372803,0.009900989942252636,2.316746473312378,0,56402,8.093273162841797,0.0,0.0,-4.715514183044434
33300,33300,192570,8,,,,,0.022525571286678314,4.673370361328125,53.5343017578125,2.3468151092529297,0.009900989942252636,2.353152275085449,-52.97441101074219,56602,8.013570785522461,0.0,0.0,-4.617617607116699
33400,33400,193311,5,,,,,0.022769885137677193,4.628153324127197,52.77251052856445,2.316185712814331,0.009900989942252636,2.3235487937927246,-53.57445526123047,56802,8.507834434509277,0.0,0.0,-4.695992469787598
33500,33500,193625,2,,,,,0.023240437731146812,4.745959758758545,55.06372833251953,2.3572909832000732,0.009900989942252636,2.3501527309417725,0,57002,8.344001770019531,0.0,0.0,-4.659283638000488
,,,,1802.9759805697684,2165,373,1,0.02341831475496292,4.639136791229248,54.852928161621094,2.331908702850342,0.009900989942252636,2.3322982788085938,0,57092,7.624242782592773,0.0,0.0,-4.710477352142334
33600,33600,194151,8,,,,,0.023294245824217796,4.616670608520508,55.70066833496094,2.3248660564422607,0.009900989942252636,2.3202619552612305,-55.86159133911133,57202,8.02998161315918,0.0,0.0,-4.694159030914307
33700,33700,194816,6,,,,,0.02336357720196247,4.780141830444336,57.678001403808594,2.408097267150879,0.009900989942252636,2.403747081756592,-58.759437561035156,57402,8.687322616577148,0.0,0.0,-4.683961391448975
33800,33800,195307,3,,,,,0.02495303377509117,4.4301958084106445,53.682952880859375,2.239307403564453,0.009900989942252636,2.2340731620788574,0,57602,7.2913970947265625,0.0,0.0,-4.583966255187988
,,,,1514.7285777169418,1715,307,1,0.025506114587187767,4.853355407714844,51.321388244628906,2.4434096813201904,0.009900989942252636,2.443326473236084,-50.66843795776367,57706,8.041810989379883,0.0,0.0,-4.654458522796631
33900,33900,195810,8,,,,,0.026398349553346634,4.72255802154541,51.145782470703125,2.3646340370178223,0.009900989942252636,2.366701126098633,-51.539093017578125,57802,8.924838066101074,0.0,0.0,-4.700158596038818
34000,34000,196610,8,,,,,0.025688761845231056,4.697390079498291,54.37449264526367,2.3661599159240723,0.009900989942252636,2.3667359352111816,-54.61357879638672,58002,8.027729034423828,0.0,0.0,-4.760632514953613
34100,34100,197340,6,,,,,0.02497958578169346,4.721292495727539,56.141788482666016,2.379546642303467,0.009900989942252636,2.3710646629333496,0,58202,7.860300064086914,0.0,0.0,-4.624611854553223
34200,34200,197750,2,,,,,0.025364123284816742,4.761890411376953,54.84300231933594,2.3848421573638916,0.009900989942252636,2.3849668502807617,-55.16922378540039,58402,8.307966232299805,0.0,0.0,-4.8196916580200195
,,,,2183.8150697981573,2401,389,1,0.025310425087809563,4.664389610290527,53.6339111328125,2.343073844909668,0.009900989942252636,2.343503475189209,0,58484,8.015401840209961,0.0,0.0,-4.573184967041016
34300,34300,198299,8,,,,,0.025646446272730827,4.7272186279296875,53.68010711669922,2.3746228218078613,0.009900989942252636,2.3749420642852783,-54.16709518432617,58602,7.2155961990356445,0.0,0.0,-4.573917388916016
34400,34400,199099,8,,,,,0.025232061743736267,4.634909629821777,55.51267623901367,2.328336238861084,0.009900989942252636,2.3322412967681885,0,58802,7.907990455627441,0.0,0.0,-4.712320327758789
34500,34500,199730,5,,,,,0.0252042468637228,4.679386138916016,54.803497314453125,2.352172613143921,0.009900989942252636,2.3619112968444824,-55.436546325683594,59002,7.663446426391602,0.0,0.0,-4.559926986694336
34600,34600,200024,1,,,,,0.024630973115563393,4.755421161651611,54.41138458251953,2.388484239578247,0.009900989942252636,2.3886289596557617,-55.11940002441406,59202,7.6533002853393555,0.0,0.0,-4.6146039962768555
,,,,2001.346073842491,2232,394,1,0.024469200521707535,4.725396633148193,55.26254653930664,2.3707118034362793,0.009900989942252636,2.370178699493408,-53.90174102783203,59272,7.0940446853637695,0.0,0.0,-4.634493827819824
34700,34700,200579,8,,,,,0.023990079760551453,4.679006576538086,54.71975326538086,2.355889320373535,0.009900989942252636,2.3554844856262207,0,59402,8.097794532775879,0.0,0.0,-4.786979675292969
34800,34800,201321,7,,,,,0.024050623178482056,4.64428186416626,55.68328857421875,2.334048271179199,0.009900989942252636,2.3341121673583984,-56.605838775634766,59602,7.961215019226074,0.0,0.0,-4.652639389038086
34900,34900,201818,3,,,,,0.023691672831773758,4.7288737297058105,56.61768341064453,2.377659797668457,0.009900989942252636,2.3801262378692627,-58.630836486816406,59802,8.486787796020508,0.0,0.0,-4.647391319274902
35000,35000,201955,1,,,,,0.023649387061595917,4.776024341583252,54.478797912597656,2.4055628776550293,0.009900989942252636,2.401235818862915,0,60002,7.919392108917236,0.0,0.0,-4.546485900878906
,,,,1678.660604216053,1963,432,1,0.02411377616226673,4.82781457901001,56.454673767089844,2.4259626865386963,0.009900989942252636,2.4257068634033203,-55.682613372802734,60136,7.945649147033691,0.0,0.0,-4.721832275390625
35100,35100,202286,8,,,,,0.024100683629512787,4.843848705291748,55.90776824951172,2.431849956512451,0.009900989942252636,2.4304966926574707,-55.93118667602539,60202,7.749033451080322,0.0,0.0,-4.700246810913086
35200,35200,203086,8,,,,,0.024031484499573708,4.658835411071777,53.9088020324707,2.336256265640259,0.009900989942252636,2.3330771923065186,-54.66374206542969,60402,7.993875026702881,0.0,0.0,-4.575897216796875
35300,35300,203820,6,,,,,0.023586921393871307,4.7794952392578125,58.98809051513672,2.404299020767212,0.009900989942252636,2.410313606262207,0,60602,8.099241256713867,0.0,0.0,-4.591854572296143
35400,35400,204210,3,,,,,0.02377438172698021,4.8621392250061035,58.410240173339844,2.4488930702209473,0.009900989942252636,2.4468798637390137,-58.61876678466797,60802,7.957850933074951,0.0,0.0,-4.609810829162598
,,,,2122.8156618630046,2297,387,1,0.024387547746300697,4.761472702026367,54.09147262573242,2.3992743492126465,0.009900989942252636,2.3963451385498047,-52.652530670166016,60910,8.288093566894531,0.0,0.0,-4.719259262084961
35500,35500,204687,8,,,,,0.024681909009814262,4.719052314758301,55.06325149536133,2.3714680671691895,0.009900989942252636,2.3786463737487793,-56.29310607910156,61002,8.273210525512695,0.0,0.0,-4.785366058349609
35600,35600,205487,8,,,,,0.024068348109722137,4.769838333129883,57.953453063964844,2.3918633460998535,0.009900989942252636,2.3941712379455566,0,61202,7.526528358459473,0.0,0.0,-4.688562393188477
35700,35700,206287,8,,,,,0.023602182045578957,4.712716102600098,57.02898025512695,2.326749801635742,0.009900989942252636,2.326493263244629,-58.02958679199219,61402,8.738510131835938,0.0,0.0,-4.7514142990112305
35800,35800,206697,1,,,,,0.023517319932579994,4.627545356750488,55.30430221557617,2.3292574882507324,0.009900989942252636,2.3278658390045166,-54.72765350341797,61602,7.987726211547852,0.0,0.0,-4.777629375457764
,,,,2280.0869914286013,2387,355,1,0.02346719615161419,4.655932426452637,55.534217834472656,2.336827039718628,0.009900989942252636,2.3376638889312744,-54.72556686401367,61620,8.114347457885742,0.0,0.0,-4.717565536499023
35900,35900,207434,8,,,,,0.023651279509067535,4.758949279785156,55.01095962524414,2.3914437294006348,0.009900989942252636,2.3928160667419434,0,61802,7.600889682769775,0.0,0.0,-4.598407745361328
36000,36000,208234,8,,,,,0.023892300203442574,4.724448204040527,56.618316650390625,2.381748676300049,0.009900989942252636,2.377779722213745,-57.88699722290039,62002,7.471280574798584,0.0,0.0,-4.567933082580566
36100,36100,208901,6,,,,,0.0233012568205595,4.64091157913208,57.780174255371094,2.3380494117736816,0.009900989942252636,2.339444875717163,-56.96891784667969,62202,7.624220371246338,0.0,0.0,-4.788547515869141
,,,,2215.1552661881783,2441,377,1,0.022812165319919586,4.732470989227295,55.805015563964844,2.3803908824920654,0.009900989942252636,2.376298189163208,-57.0445556640625,62374,7.5358805656433105,0.0,0.0,-4.567025184631348
36200,36200,209259,8,,,,,0.022804243490099907,4.702953338623047,55.53693389892578,2.362640619277954,0.009900989942252636,2.3657636642456055,0,62402,7.579639434814453,0.0,0.0,-4.666924476623535
36300,36300,210059,8,,,,,0.022977175191044807,4.680490493774414,55.90771484375,2.3557558059692383,0.009900989942252636,2.3604612350463867,-57.0107421875,62602,7.7284440994262695,0.0,0.0,-4.707441329956055
36400,36400,210859,8,,,,,0.02262948639690876,4.782621383666992,56.336708068847656,2.4010696411132812,0.009900989942252636,2.401144027709961,-56.39128875732422,62802,7.926108360290527,0.0,0.0,-4.687899589538574
36500,36500,211394,4,,,,,0.022371873259544373,4.70477819442749,58.904972076416016,2.3708930015563965,0.009900989942252636,2.367565631866455,0,63002,7.842995643615723,0.0,0.0,-4.6118974685668945
,,,,2308.9995491073205,2446,398,1,0.02299557439982891,4.74361515045166,53.76405334472656,2.3832221031188965,0.009900989942252636,2.386486053466797,0,63170,8.5948486328125,0.0,0.0,-4.710179328918457
36600,36600,211721,8,,,,,0.023237194865942,4.803234100341797,56.24483108520508,2.407984733581543,0.009900989942252636,2.4041097164154053,-56.22066116333008,63202,8.085691452026367,0.0,0.0,-4.738424301147461
36700,36700,212521,8,,,,,0.02348824217915535,4.664909362792969,57.16875457763672,2.350987195968628,0.009900989942252636,2.343593120574951,-57.521541595458984,63402,7.709871292114258,0.0,0.0,-4.677695274353027
36800,36800,213301,7,,,,,0.02338957041501999,4.708923816680908,55.57978439331055,2.3750667572021484,0.009900989942252636,2.365975856781006,0,63602,8.337858200073242,0.0,0.0,-4.670093536376953
36900,36900,213844,4,,,,,0.024186547845602036,4.725129127502441,55.681297302246094,2.369582176208496,0.009900989942252636,2.368192672729492,-57.10563659667969,63802,7.775257110595703,0.0,0.0,-4.588930130004883
,,,,2137.627637475935,2413,403,1,0.024151882156729698,4.794708728790283,59.199554443359375,2.403965950012207,0.009900989942252636,2.3982067108154297,-60.580997467041016,63976,7.840632438659668,0.0,0.0,-4.700488567352295
37000,37000,214110,8,,,,,0.023943739011883736,4.633035659790039,58.54555892944336,2.328547716140747,0.009900989942252636,2.326042413711548,-58.960262298583984,64002,7.91183614730835,0.0,0.0,-4.748669624328613
37100,37100,214754,6,,,,,0.023076359182596207,4.6916704177856445,58.74663162231445,2.358105182647705,0.009900989942252636,2.356996536254883,0,64202,7.78891134262085,0.0,0.0,-4.646965026855469
37200,37200,215314,5,,,,,0.0229566041380167,4.646843433380127,57.983394622802734,2.3394436836242676,0.009900989942252636,2.338886260986328,-58.26240539550781,64402,8.488726615905762,0.0,0.0,-4.695347785949707
