rollout/env_steps,time/total_timesteps,rollout/agent_steps_total,rollout/active_agents,rollout/episode_group_reward,rollout/episode_agent_steps,rollout/episode_length,rollout/episode_alive_agents_end,train/ent_coef,train/critic_loss,train/current_q_values,train/entrQ_1,train/next_q_values,train/entrQ_2,train/actor_loss,train/n_updates,train/run_costs,train/sto_costs,train/entropy,train/terminal_costs
6100,6100,46122,8,,,,,0.5108264088630676,8.13487434387207,18.652416229248047,4.093016624450684,0.009900989942252636,4.09546422958374,-19.155723571777344,2202,3.9213438034057617,0.0,0.0,-4.641427993774414
6200,6200,46922,8,,,,,0.48514801263809204,7.8609771728515625,20.978158950805664,3.9570155143737793,0.009900989942252636,3.958803176879883,0,2402,3.9267804622650146,0.0,0.0,-4.696114540100098
6300,6300,47645,7,,,,,0.46113717555999756,7.529207229614258,22.996721267700195,3.790217399597168,0.009900989942252636,3.7903878688812256,-23.296337127685547,2602,3.9318346977233887,0.0,0.0,-4.682529449462891
6400,6400,48259,6,,,,,0.439019113779068,7.184117317199707,24.708080291748047,3.616917133331299,0.009900989942252636,3.617250442504883,-25.20508575439453,2802,3.477381706237793,0.0,0.0,-4.508051872253418
6500,6500,48859,6,,,,,0.41822946071624756,6.910041332244873,25.376182556152344,3.478337287902832,0.009900989942252636,3.4787423610687256,0,3002,3.7580018043518066,0.0,0.0,-4.630646705627441
6600,6600,49459,6,,,,,0.3988168239593506,6.699092388153076,26.315549850463867,3.373626232147217,0.009900989942252636,3.3737144470214844,-26.81869125366211,3202,3.8455944061279297,0.0,0.0,-4.6781415939331055
6700,6700,50059,6,,,,,0.380770742893219,6.509237766265869,25.881515502929688,3.2778801918029785,0.009900989942252636,3.2772884368896484,-26.568782806396484,3402,3.729790210723877,0.0,0.0,-4.636144638061523
6800,6800,50659,6,,,,,0.3636622726917267,6.336545467376709,25.2359619140625,3.1880970001220703,0.009900989942252636,3.1534152030944824,0,3602,3.919069290161133,0.0,0.0,-4.7132344245910645
6900,6900,51259,6,,,,,0.3476303517818451,6.234792709350586,25.63433074951172,3.139383554458618,0.009900989942252636,3.139410972595215,-26.09622573852539,3802,3.7779786586761475,0.0,0.0,-4.664266109466553
7000,7000,51807,5,,,,,0.33276280760765076,6.110661029815674,25.459671020507812,3.073212146759033,0.009900989942252636,3.0714573860168457,-25.552099227905273,4002,3.6575636863708496,0.0,0.0,-4.6358137130737305
,,,,16.985796049732215,6485,1000,5,,,,,,,,,,,,
7100,7100,52607,8,,,,,0.3184487521648407,6.011169910430908,24.22988510131836,2.9992103576660156,0.009900989942252636,3.0013160705566406,0,4202,3.6150078773498535,0.0,0.0,-4.620037078857422
7200,7200,53369,7,,,,,0.3049435019493103,5.878462791442871,24.193992614746094,2.959167957305908,0.009900989942252636,2.9572348594665527,-24.89693260192871,4402,3.7749533653259277,0.0,0.0,-4.6822614669799805
7300,7300,54069,7,,,,,0.2924076020717621,5.8004560470581055,23.252023696899414,2.9155473709106445,0.009900989942252636,2.918449878692627,-23.82103157043457,4602,3.758305788040161,0.0,0.0,-4.676326751708984
7400,7400,54730,6,,,,,0.2803519070148468,5.705431938171387,23.05093002319336,2.875476837158203,0.009900989942252636,2.8737707138061523,0,4802,3.6355669498443604,0.0,0.0,-4.619489669799805
7500,7500,55330,6,,,,,0.2689017951488495,5.626970291137695,22.37954330444336,2.8240654468536377,0.009900989942252636,2.825489044189453,-22.784156799316406,5002,3.6072378158569336,0.0,0.0,-4.633474349975586
7600,7600,55930,6,,,,,0.2582460641860962,5.555910587310791,21.808128356933594,2.7971391677856445,0.009900989942252636,2.7985706329345703,-22.059341430664062,5202,3.5389108657836914,0.0,0.0,-4.595625400543213
7700,7700,56530,6,,,,,0.24797911942005157,5.490476608276367,21.34461212158203,2.7656397819519043,0.009900989942252636,2.7661218643188477,0,5402,3.6756739616394043,0.0,0.0,-4.6616926193237305
7800,7800,57130,6,,,,,0.23830975592136383,5.431221961975098,20.861125946044922,2.7345447540283203,0.009900989942252636,2.7327842712402344,-20.874950408935547,5602,3.837899684906006,0.0,0.0,-4.751889228820801
7900,7900,57730,6,,,,,0.22922703623771667,5.366705894470215,20.044940948486328,2.7017455101013184,0.009900989942252636,2.7026734352111816,-20.23609161376953,5802,3.675092935562134,0.0,0.0,-4.64117956161499
8000,8000,58330,6,,,,,0.22045446932315826,5.288039207458496,19.7146053314209,2.6669669151306152,0.009900989942252636,2.665635108947754,0,6002,3.575615882873535,0.0,0.0,-4.64208984375
,,,,36.42781518504776,6523,1000,6,,,,,,,,,,,,
8100,8100,59130,8,,,,,0.2121126353740692,5.247198104858398,18.86391258239746,2.640632152557373,0.009900989942252636,2.6439030170440674,-19.35272979736328,6202,3.5855422019958496,0.0,0.0,-4.617764472961426
8200,8200,59930,8,,,,,0.20429489016532898,5.195316791534424,18.748016357421875,2.6153249740600586,0.009900989942252636,2.615003824234009,-18.946025848388672,6402,3.77432918548584,0.0,0.0,-4.717079162597656
8300,8300,60730,8,,,,,0.19679836928844452,5.130958080291748,18.181053161621094,2.584792137145996,0.009900989942252636,2.585827112197876,0,6602,3.789501667022705,0.0,0.0,-4.713084697723389
8400,8400,61515,7,,,,,0.1896122246980667,5.081357955932617,17.33740234375,2.5559496879577637,0.009900989942252636,2.5448660850524902,-17.90188217163086,6802,3.5648696422576904,0.0,0.0,-4.61205530166626
8500,8500,62215,7,,,,,0.1828567385673523,5.023650169372559,17.02994155883789,2.5285301208496094,0.009900989942252636,2.5303869247436523,-17.46628189086914,7002,3.753215789794922,0.0,0.0,-4.70419979095459
8600,8600,62915,7,,,,,0.17630189657211304,4.992950439453125,16.5545654296875,2.5122766494750977,0.009900989942252636,2.511239528656006,0,7202,3.643744945526123,0.0,0.0,-4.64278507232666
8700,8700,63615,7,,,,,0.17003367841243744,4.946951866149902,16.178354263305664,2.4915599822998047,0.009900989942252636,2.4912009239196777,-16.53370475769043,7402,3.65494966506958,0.0,0.0,-4.668334007263184
8800,8800,64315,7,,,,,0.16413305699825287,4.926141738891602,15.690532684326172,2.4818930625915527,0.009900989942252636,2.483105421066284,-15.750446319580078,7602,3.584796667098999,0.0,0.0,-4.647030830383301
8900,8900,65015,7,,,,,0.1583835333585739,4.8912129402160645,15.211105346679688,2.4566102027893066,0.009900989942252636,2.46452260017395,0,7802,3.521347999572754,0.0,0.0,-4.587108612060547
9000,9000,65715,7,,,,,0.15290498733520508,4.832632064819336,14.573084831237793,2.4356024265289307,0.009900989942252636,2.434572696685791,-15.02926254272461,8002,3.4645698070526123,0.0,0.0,-4.572415351867676
,,,,56.922614810296466,7385,1000,7,,,,,,,,,,,,
9100,9100,66515,8,,,,,0.1477309763431549,4.793401718139648,14.079534530639648,2.4146170616149902,0.009900989942252636,2.4149889945983887,-14.387527465820312,8202,3.47009015083313,0.0,0.0,-4.588988780975342
9200,9200,67315,8,,,,,0.14269500970840454,4.760333061218262,13.97034740447998,2.3984291553497314,0.009900989942252636,2.398237705230713,0,8402,3.684499740600586,0.0,0.0,-4.702935218811035
9300,9300,68115,8,,,,,0.13784722983837128,4.734895706176758,13.765142440795898,2.384827136993408,0.009900989942252636,2.3875060081481934,-13.84185791015625,8602,3.747927665710449,0.0,0.0,-4.7414350509643555
9400,9400,68915,8,,,,,0.1332745999097824,4.720303535461426,13.50544261932373,2.3787684440612793,0.009900989942252636,2.3790807723999023,-13.775753021240234,8802,3.600494861602783,0.0,0.0,-4.6566572189331055
9500,9500,69715,8,,,,,0.1288391798734665,4.65864372253418,12.992265701293945,2.3466081619262695,0.009900989942252636,2.3461008071899414,0,9002,3.6479244232177734,0.0,0.0,-4.697024822235107
9600,9600,70469,6,,,,,0.12452638149261475,4.634776592254639,12.76799201965332,2.3340587615966797,0.009900989942252636,2.3319671154022217,-13.078001976013184,9202,3.599083185195923,0.0,0.0,-4.675293922424316
9700,9700,71069,6,,,,,0.1204773336648941,4.605734348297119,12.019902229309082,2.32122802734375,0.009900989942252636,2.32123064994812,-12.315027236938477,9402,3.701888084411621,0.0,0.0,-4.72203254699707
9800,9800,71648,5,,,,,0.11653964966535568,4.554181098937988,11.911432266235352,2.2949633598327637,0.009900989942252636,2.295602321624756,0,9602,3.316253662109375,0.0,0.0,-4.519104480743408
9900,9900,72148,5,,,,,0.11274291574954987,4.541948318481445,11.788354873657227,2.289635181427002,0.009900989942252636,2.2882094383239746,-11.843961715698242,9802,3.504230499267578,0.0,0.0,-4.6301093101501465
10000,10000,72648,5,,,,,0.10912115126848221,4.497523307800293,11.516247749328613,2.267035961151123,0.009900989942252636,2.2656822204589844,-11.750388145446777,10002,3.497775077819824,0.0,0.0,-4.629236221313477
,,,,28.99527889937037,6933,1000,5,,,,,,,,,,,,
10100,10100,73448,8,,,,,0.10558971762657166,4.470834732055664,10.973447799682617,2.2538909912109375,0.009900989942252636,2.2527644634246826,0,10202,3.5039420127868652,0.0,0.0,-4.612318992614746
10200,10200,74248,8,,,,,0.10219284892082214,4.443701267242432,11.020057678222656,2.239410877227783,0.009900989942252636,2.2409005165100098,-11.233789443969727,10402,3.6105384826660156,0.0,0.0,-4.676527500152588
10300,10300,75048,8,,,,,0.09899721294641495,4.416402816772461,10.48159408569336,2.2250025272369385,0.009900989942252636,2.2301025390625,-10.586660385131836,10602,3.5223259925842285,0.0,0.0,-4.6390790939331055
10400,10400,75848,8,,,,,0.09587108343839645,4.387372970581055,10.802227973937988,2.2128584384918213,0.009900989942252636,2.209807872772217,0,10802,3.796745538711548,0.0,0.0,-4.824750900268555
10500,10500,76648,8,,,,,0.09285322576761246,4.334112644195557,10.109548568725586,2.184018135070801,0.009900989942252636,2.1843724250793457,-10.346198081970215,11002,3.5048327445983887,0.0,0.0,-4.592822551727295
10600,10600,77448,8,,,,,0.08999105542898178,4.316041946411133,9.933591842651367,2.1760056018829346,0.009900989942252636,2.175673007965088,-10.09329605102539,11202,3.6620707511901855,0.0,0.0,-4.709733009338379
10700,10700,78170,7,,,,,0.08718152344226837,4.311400413513184,9.576068878173828,2.1737608909606934,0.009900989942252636,2.17297625541687,0,11402,3.7482473850250244,0.0,0.0,-4.766495704650879
10800,10800,78870,7,,,,,0.08447040617465973,4.239564895629883,9.49692153930664,2.136876106262207,0.009900989942252636,2.136943817138672,-9.694668769836426,11602,3.522855758666992,0.0,0.0,-4.655576705932617
10900,10900,79570,7,,,,,0.08189009130001068,4.210053443908691,8.87211799621582,2.119135618209839,0.009900989942252636,2.1153335571289062,-9.051776885986328,11802,3.524118423461914,0.0,0.0,-4.640980243682861
11000,11000,80270,7,,,,,0.07935871928930283,4.228315353393555,9.027307510375977,2.1290807723999023,0.009900989942252636,2.1292378902435303,0,12002,3.825772523880005,0.0,0.0,-4.789227485656738
,,,,77.25575946466462,7622,1000,7,,,,,,,,,,,,
11100,11100,81070,8,,,,,0.07693397253751755,4.167720794677734,8.416071891784668,2.1051454544067383,0.009900989942252636,2.0920708179473877,-8.649503707885742,12202,3.6041579246520996,0.0,0.0,-4.696956634521484
11200,11200,81870,8,,,,,0.07461240887641907,4.136754512786865,8.256183624267578,2.0845816135406494,0.009900989942252636,2.083494186401367,-8.461119651794434,12402,3.4470582008361816,0.0,0.0,-4.587318420410156
11300,11300,82576,3,,,,,0.07256146520376205,4.493526458740234,9.13705825805664,2.1995513439178467,0.009900989942252636,2.136470317840576,0,12602,3.9294986724853516,0.0,0.0,-4.603462219238281
11400,11400,82771,1,,,,,0.0704425796866417,4.543549537658691,8.97802734375,2.2879257202148438,0.009900989942252636,2.2849507331848145,-9.293333053588867,12802,3.837515354156494,0.0,0.0,-4.690248489379883
11500,11500,82871,1,,,,,0.06836182624101639,4.601949691772461,7.214020252227783,2.3170061111450195,0.009900989942252636,2.3198418617248535,-7.119962692260742,13002,3.6649928092956543,0.0,0.0,-4.740881443023682
11600,11600,82971,1,,,,,0.06628642976284027,4.401310920715332,7.09079647064209,2.216254711151123,0.009900989942252636,2.220513343811035,0,13202,3.544625759124756,0.0,0.0,-4.644162178039551
11700,11700,83071,1,,,,,0.06428071856498718,4.323212623596191,7.384921550750732,2.1802244186401367,0.009900989942252636,2.178823947906494,-7.510807037353516,13402,3.6286659240722656,0.0,0.0,-4.674561500549316
,,,,-15.905729280755338,2840,739,1,0.06351763010025024,4.329363822937012,7.11014461517334,2.185842514038086,0.009900989942252636,2.1811771392822266,-7.380287170410156,13480,3.4615888595581055,0.0,0.0,-4.601317405700684
11800,11800,83598,8,,,,,0.06237315386533737,4.20883846282959,7.467619895935059,2.1206910610198975,0.009900989942252636,2.1226272583007812,-7.731383323669434,13602,3.5459392070770264,0.0,0.0,-4.63810920715332
11900,11900,84222,6,,,,,0.060510389506816864,4.144160270690918,7.229887008666992,2.088899612426758,0.009900989942252636,2.0882391929626465,0,13802,3.784501552581787,0.0,0.0,-4.771764755249023
12000,12000,84822,6,,,,,0.058692991733551025,4.113763809204102,7.275957107543945,2.073667049407959,0.009900989942252636,2.0731358528137207,-7.516757488250732,14002,3.6156392097473145,0.0,0.0,-4.690367221832275
12100,12100,85422,6,,,,,0.05696460232138634,4.052913188934326,7.2293901443481445,2.0454392433166504,0.009900989942252636,2.0464701652526855,-7.387750148773193,14202,3.4832420349121094,0.0,0.0,-4.671862602233887
12200,12200,85951,5,,,,,0.05527801066637039,4.029329776763916,6.767562389373779,2.0314745903015137,0.009900989942252636,2.0315775871276855,0,14402,3.645294189453125,0.0,0.0,-4.70819091796875
12300,12300,86451,5,,,,,0.05365105718374252,3.9983980655670166,6.7960205078125,2.0151607990264893,0.009900989942252636,2.014720916748047,-6.963388919830322,14602,3.4854259490966797,0.0,0.0,-4.572066307067871
12400,12400,86951,5,,,,,0.05209486931562424,3.934718132019043,6.369774341583252,1.9832935333251953,0.009900989942252636,1.9824607372283936,-6.469414710998535,14802,3.7721714973449707,0.0,0.0,-4.775498867034912
12500,12500,87451,5,,,,,0.05056168511509895,3.9082729816436768,6.3685126304626465,1.970655918121338,0.009900989942252636,1.9708430767059326,0,15002,3.5216076374053955,0.0,0.0,-4.605312824249268
12600,12600,87951,5,,,,,0.04908568412065506,3.8846240043640137,6.428410530090332,1.960898995399475,0.009900989942252636,1.9603272676467896,-6.66146993637085,15202,3.5464203357696533,0.0,0.0,-4.703617095947266
12700,12700,88451,5,,,,,0.047685276716947556,3.917327642440796,6.092247486114502,1.9741476774215698,0.009900989942252636,1.9738695621490479,-6.384924411773682,15402,3.6250967979431152,0.0,0.0,-4.690950870513916
,,,,52.85795935431259,5536,1000,5,0.047139618545770645,3.854207992553711,6.013535499572754,1.9483685493469238,0.009900989942252636,1.9442791938781738,-6.214832305908203,15480,3.620953321456909,0.0,0.0,-4.659457206726074
12800,12800,89134,8,,,,,0.04630037769675255,3.8891525268554688,6.009706974029541,1.9619019031524658,0.009900989942252636,1.961692452430725,0,15602,3.332066535949707,0.0,0.0,-4.560476779937744
12900,12900,89934,8,,,,,0.04495173692703247,3.796125888824463,5.748908042907715,1.9139094352722168,0.009900989942252636,1.9136414527893066,-5.978128433227539,15802,3.5800366401672363,0.0,0.0,-4.649993896484375
13000,13000,90734,8,,,,,0.04366595670580864,3.7974300384521484,5.787598609924316,1.913292407989502,0.009900989942252636,1.9145268201828003,-6.000017166137695,16002,3.570079803466797,0.0,0.0,-4.7051849365234375
13100,13100,91534,8,,,,,0.04240657389163971,3.8490285873413086,5.829196929931641,1.93925940990448,0.009900989942252636,1.9371297359466553,0,16202,3.5997848510742188,0.0,0.0,-4.648792266845703
13200,13200,92334,8,,,,,0.04118639975786209,3.7983415126800537,5.310400485992432,1.9183440208435059,0.009900989942252636,1.9161055088043213,-5.486722946166992,16402,3.5891518592834473,0.0,0.0,-4.689966678619385
13300,13300,93134,8,,,,,0.04002033546566963,3.7555947303771973,5.44729471206665,1.8927907943725586,0.009900989942252636,1.8928089141845703,-5.44575309753418,16602,3.7126455307006836,0.0,0.0,-4.719241142272949
13400,13400,93934,8,,,,,0.03887694701552391,3.771115779876709,5.538573265075684,1.9014091491699219,0.009900989942252636,1.9027187824249268,0,16802,3.79953670501709,0.0,0.0,-4.704516410827637
13500,13500,94734,8,,,,,0.03777839243412018,3.778049945831299,5.484155178070068,1.9025572538375854,0.009900989942252636,1.902170181274414,-5.592959403991699,17002,3.5644006729125977,0.0,0.0,-4.661803722381592
13600,13600,95534,8,,,,,0.036734629422426224,3.735751152038574,5.292855262756348,1.88394296169281,0.009900989942252636,1.8836584091186523,-5.3946213722229,17202,3.79590106010437,0.0,0.0,-4.7444000244140625
13700,13700,96334,8,,,,,0.03571130335330963,3.704456090927124,5.183328628540039,1.8580355644226074,0.009900989942252636,1.8608977794647217,0,17402,3.871617555618286,0.0,0.0,-4.686455249786377
,,,,184.92202895408664,7967,1000,7,0.035322535783052444,3.6778910160064697,5.131080150604248,1.857073426246643,0.009900989942252636,1.8497153520584106,0,17480,3.8872363567352295,0.0,0.0,-4.706910610198975
13800,13800,97101,8,,,,,0.034717801958322525,3.6759066581726074,4.886971473693848,1.852448582649231,0.009900989942252636,1.8534786701202393,-5.204118251800537,17602,3.5475473403930664,0.0,0.0,-4.649462699890137
13900,13900,97901,8,,,,,0.03377868980169296,3.5876388549804688,5.317498683929443,1.807445764541626,0.009900989942252636,1.8113049268722534,-5.610588073730469,17802,3.6867997646331787,0.0,0.0,-4.589974880218506
14000,14000,98701,8,,,,,0.03287038952112198,3.6035146713256836,5.152364730834961,1.815791368484497,0.009900989942252636,1.8190182447433472,0,18002,3.810694694519043,0.0,0.0,-4.6803131103515625
14100,14100,99462,7,,,,,0.03200767934322357,3.6508984565734863,5.592182636260986,1.8423124551773071,0.009900989942252636,1.8372453451156616,-5.63080358505249,18202,3.8456780910491943,0.0,0.0,-4.74839973449707
14200,14200,100162,7,,,,,0.031160371378064156,3.6819567680358887,5.226294994354248,1.8378252983093262,0.009900989942252636,1.834434151649475,-5.6442413330078125,18402,3.991471529006958,0.0,0.0,-4.648731231689453
14300,14300,100714,4,,,,,0.03034980781376362,3.601203441619873,5.351808547973633,1.8129080533981323,0.009900989942252636,1.8147940635681152,0,18602,4.308750629425049,0.0,0.0,-4.814568519592285
14400,14400,101040,2,,,,,0.02957065775990486,3.645756483078003,5.027347564697266,1.8339712619781494,0.009900989942252636,1.8377342224121094,-5.253634929656982,18802,4.094616413116455,0.0,0.0,-4.672126770019531
,,,,159.10824087330167,4473,684,2,0.029397856444120407,3.587895393371582,4.988359451293945,1.8103760480880737,0.009900989942252636,1.8087048530578613,0,18848,4.033453941345215,0.0,0.0,-4.665477275848389
14500,14500,101702,8,,,,,0.028828609734773636,3.645115852355957,5.630937576293945,1.8403452634811401,0.009900989942252636,1.8402878046035767,-5.857100486755371,19002,3.9578962326049805,0.0,0.0,-4.617344856262207
14600,14600,102502,8,,,,,0.028109394013881683,3.774308204650879,5.750549793243408,1.9048293828964233,0.009900989942252636,1.901642084121704,0,19202,4.562257766723633,0.0,0.0,-4.680764198303223
14700,14700,103302,8,,,,,0.027442902326583862,3.620269775390625,6.747164726257324,1.8269381523132324,0.009900989942252636,1.821735143661499,-6.9575395584106445,19402,4.555241584777832,0.0,0.0,-4.651922702789307
14800,14800,103945,6,,,,,0.026807934045791626,3.6708858013153076,6.247392654418945,1.8504164218902588,0.009900989942252636,1.85132896900177,-6.520399570465088,19602,4.98972749710083,0.0,0.0,-4.652953147888184
14900,14900,104331,3,,,,,0.026185903698205948,3.5818283557891846,6.727776527404785,1.8004201650619507,0.009900989942252636,1.8087214231491089,0,19802,4.471076011657715,0.0,0.0,-4.767828941345215
15000,15000,104631,3,,,,,0.025590024888515472,3.5667481422424316,6.875558853149414,1.7884730100631714,0.009900989942252636,1.7884364128112793,-6.715075492858887,20002,4.325204372406006,0.0,0.0,-4.643496513366699
15100,15100,104893,2,,,,,0.025119084864854813,3.131436824798584,11.777061462402344,1.573375940322876,0.009900989942252636,1.5794579982757568,-12.416818618774414,20202,5.74045467376709,0.0,0.0,-4.6315693855285645
15200,15200,105093,2,,,,,0.0246491190046072,3.4759984016418457,6.7770256996154785,1.748447060585022,0.009900989942252636,1.7469128370285034,0,20402,4.717940807342529,0.0,0.0,-4.6527628898620605
15300,15300,105293,2,,,,,0.02408640831708908,3.551015853881836,6.7646942138671875,1.7874870300292969,0.009900989942252636,1.7866299152374268,-6.969018936157227,20602,4.844028472900391,0.0,0.0,-4.699016571044922
15400,15400,105493,2,,,,,0.023597294464707375,4.090442657470703,5.084633827209473,2.0587263107299805,0.009900989942252636,2.0575344562530518,-5.120186805725098,20802,4.503376007080078,0.0,0.0,-4.546596050262451
,,,,351.92087813697333,4453,1000,2,0.023461272940039635,4.16616153717041,5.99105167388916,2.094630241394043,0.009900989942252636,2.0944838523864746,-6.820127487182617,20848,5.384063720703125,0.0,0.0,-4.702565670013428
15500,15500,106078,5,,,,,0.023077821359038353,4.318687915802002,6.274130821228027,2.171624183654785,0.009900989942252636,2.171550750732422,0,21002,4.585055828094482,0.0,0.0,-4.651900291442871
